Brew pilot check: Dustin's 15 brews under k3 and kp3   (2026-09-25 07:16)

Diagnostic add-on /home/dacz8976/diag-kp-addon/module/pdl_rl_env.abi3.so sha256 c048388b4bcf7103375ea0a1e7c9e965be8e350000c3ac873bd111b69e1eae19 (engine at c7cb688; not the verified 0.7.2 wheel).
100 paired deals per matchup, seeds 21,050,000,000 + brew x 1,000,000 + opponent x 10,000 + i. Games that did not replay exactly or raised an error: 0 of 24,000; a deal counts only when all three rows' games are clean.

Rows are brew pilot | opponent pilot. The brew's win % in each row; two paired differences (95% interval):
  'pilot' = kp3|k3 - k3|k3 (what k3 understates, against k3 opponents);
  'meta'  = kp3|kp3 - kp3|k3 (does it move again when the meta side prices too).
Per brew turn where Thieving Incisors (TI) / Copycat was on offer: turns the brew used it / turns on offer.

  brew v opponent                     n  k3|k3  kp3|k3  kp3|kp3         pilot          meta        TI k3|k3    TI kp3|k3   TI kp3|kp3    Copycat k3|k3 Copycat kp3|k3
  07-skarmory-stall v all eight     800   51.4    51.4      nan    +0.0 ±0.0     +nan ±nan              0/0          0/0            —              0/0            0/0

  08-garchomp-toolb v altaria       100   43.0    43.0      nan    +0.0 ±8.4     +nan ±nan              0/0          0/0            —       40/195 21%     61/113 54%
  08-garchomp-toolb v blaziken      100   21.0    29.0      nan    +8.0 ±5.3     +nan ±nan              0/0          0/0            —       33/196 17%     55/106 52%
  08-garchomp-toolb v hydreigon     100   35.0    33.0      nan    -2.0 ±6.8     +nan ±nan              0/0          0/0            —       31/189 16%     55/108 51%
  08-garchomp-toolb v lucario       100   41.0    37.0      nan    -4.0 ±6.2     +nan ±nan              0/0          0/0            —        14/240 6%     49/121 40%
  08-garchomp-toolb v sceptile      100   18.0    21.0      nan    +3.0 ±5.2     +nan ±nan              0/0          0/0            —        22/234 9%     54/124 44%
  08-garchomp-toolb v suicune       100   25.0    28.0      nan    +3.0 ±6.5     +nan ±nan              0/0          0/0            —       37/210 18%     60/134 45%
  08-garchomp-toolb v vespiquen     100   41.0    40.0      nan    -1.0 ±8.6     +nan ±nan              0/0          0/0            —       25/206 12%     56/109 51%
  08-garchomp-toolb v weezing       100   29.0    27.0      nan    -2.0 ±6.2     +nan ±nan              0/0          0/0            —       20/164 12%      56/90 62%
  08-garchomp-toolb v all eight     800   31.6    32.2      nan    +0.6 ±2.4     +nan ±nan              0/0          0/0            —     222/1634 14%    446/905 49%

  09-mega-manectric v altaria       100   68.0    68.0      nan    +0.0 ±6.2     +nan ±nan              0/0          0/0            —       15/108 14%      36/65 55%
