Brew pilot check: Dustin's 24 brews under k3 and kp3   (2026-09-25 10:08)

Diagnostic add-on /home/dacz8976/diag-kp-addon/module/pdl_rl_env.abi3.so sha256 c048388b4bcf7103375ea0a1e7c9e965be8e350000c3ac873bd111b69e1eae19 (engine at c7cb688; not the verified 0.7.2 wheel).
60 paired deals per matchup, seeds 21,070,000,000 + brew x 1,000,000 + opponent x 10,000 + i. Games that did not replay exactly or raised an error: 0 of 23,040; a deal counts only when all 2 rows' games are clean.

Rows are brew pilot | opponent pilot. The brew's win % in each row; three paired differences (95% interval):
  'pilot' = kp3|k3 - k3|k3 (what k3 understates, against k3 opponents);
  'meta'  = kp3|kp3 - kp3|k3 (does it move again when the meta side prices too);
  'both'  = kp3|kp3 - k3|k3 (kp3 on both sides against k3 on both sides).
Per brew turn where Thieving Incisors (TI) / Copycat was on offer: turns the brew used it / turns on offer.

  brew v opponent                       n  k3|k3  kp3|k3  kp3|kp3         pilot          meta          both        TI k3|k3    TI kp3|k3   TI kp3|kp3    Copycat k3|k3 Copycat kp3|k3
  brew-10-diancie-girat v blaziken     60   45.0     nan     31.7    +nan ±nan     +nan ±nan    -13.3 ±14.3             0/0            —          0/0        12/232 5%              —
  brew-10-diancie-girat v hydreigon    60   60.0     nan     46.7    +nan ±nan     +nan ±nan    -13.3 ±16.4             0/0            —          0/0        12/200 6%              —
  brew-10-diancie-girat v lucario      60   43.3     nan     56.7    +nan ±nan     +nan ±nan    +13.3 ±12.7             0/0            —          0/0         9/159 6%              —
  brew-10-diancie-girat v sceptile     60   51.7     nan     51.7    +nan ±nan     +nan ±nan     +0.0 ±12.3             0/0            —          0/0         6/211 3%              —
  brew-10-diancie-girat v suicune      60   33.3     nan     28.3    +nan ±nan     +nan ±nan     -5.0 ±11.8             0/0            —          0/0        14/225 6%              —
  brew-10-diancie-girat v vespiquen    60   48.3     nan     51.7    +nan ±nan     +nan ±nan     +3.3 ±12.3             0/0            —          0/0        14/197 7%              —
  brew-10-diancie-girat v weezing      60   26.7     nan     21.7    +nan ±nan     +nan ±nan     -5.0 ±10.9             0/0            —          0/0        13/216 6%              —
  brew-10-diancie-girat v all eight   480   44.4     nan     40.8    +nan ±nan     +nan ±nan     -3.5 ±4.7              0/0            —          0/0      104/1637 6%              —

  01-muk-glimmora-kinga v altaria      60   30.0     nan     30.0    +nan ±nan     +nan ±nan     +0.0 ±14.0             0/0            —          0/0       61/188 32%              —
  01-muk-glimmora-kinga v blaziken     60   16.7     nan     10.0    +nan ±nan     +nan ±nan     -6.7 ±13.1             0/0            —          0/0       55/193 28%              —
  01-muk-glimmora-kinga v hydreigon    60   35.0     nan     30.0    +nan ±nan     +nan ±nan     -5.0 ±15.0             0/0            —          0/0       73/222 33%              —
  01-muk-glimmora-kinga v lucario      60   13.3     nan      6.7    +nan ±nan     +nan ±nan     -6.7 ±10.3             0/0            —          0/0       49/180 27%              —
  01-muk-glimmora-kinga v sceptile     60    6.7     nan      5.0    +nan ±nan     +nan ±nan     -1.7 ±5.7              0/0            —          0/0       72/185 39%              —
  01-muk-glimmora-kinga v suicune      60    8.3     nan     10.0    +nan ±nan     +nan ±nan     +1.7 ±9.9              0/0            —          0/0       74/201 37%              —
  01-muk-glimmora-kinga v vespiquen    60   23.3     nan     16.7    +nan ±nan     +nan ±nan     -6.7 ±11.3             0/0            —          0/0       67/210 32%              —
  01-muk-glimmora-kinga v weezing      60   20.0     nan     20.0    +nan ±nan     +nan ±nan     +0.0 ±12.3             0/0            —          0/0       54/186 29%              —
  01-muk-glimmora-kinga v all eight   480   19.2     nan     16.0    +nan ±nan     +nan ±nan     -3.1 ±4.1              0/0            —          0/0     505/1565 32%              —

  02-arceus-crobat v altaria           60   58.3     nan     48.3    +nan ±nan     +nan ±nan    -10.0 ±12.9             0/0            —          0/0       25/117 21%              —
  02-arceus-crobat v blaziken          60   40.0     nan     46.7    +nan ±nan     +nan ±nan     +6.7 ±13.1             0/0            —          0/0       11/105 10%              —
  02-arceus-crobat v hydreigon         60   50.0     nan     28.3    +nan ±nan     +nan ±nan    -21.7 ±16.2             0/0            —          0/0       11/110 10%              —
  02-arceus-crobat v lucario           60   18.3     nan     18.3    +nan ±nan     +nan ±nan     +0.0 ±11.4             0/0            —          0/0       13/106 12%              —
  02-arceus-crobat v sceptile          60   30.0     nan     25.0    +nan ±nan     +nan ±nan     -5.0 ±9.8              0/0            —          0/0       11/109 10%              —
  02-arceus-crobat v suicune           60   15.0     nan     18.3    +nan ±nan     +nan ±nan     +3.3 ±8.0              0/0            —          0/0       14/127 11%              —
  02-arceus-crobat v vespiquen         60   36.7     nan     26.7    +nan ±nan     +nan ±nan    -10.0 ±14.5             0/0            —          0/0        19/99 19%              —
  02-arceus-crobat v weezing           60   18.3     nan     23.3    +nan ±nan     +nan ±nan     +5.0 ±10.9             0/0            —          0/0       20/113 18%              —
  02-arceus-crobat v all eight        480   33.3     nan     29.4    +nan ±nan     +nan ±nan     -4.0 ±4.4              0/0            —          0/0      124/886 14%              —

  03-wailord-indeedee-w v altaria      60   70.0     nan     68.3    +nan ±nan     +nan ±nan     -1.7 ±10.9             0/0            —          0/0        43/91 47%              —
  03-wailord-indeedee-w v blaziken     60   71.7     nan     68.3    +nan ±nan     +nan ±nan     -3.3 ±11.4             0/0            —          0/0        32/90 36%              —
  03-wailord-indeedee-w v hydreigon    60   73.3     nan     70.0    +nan ±nan     +nan ±nan     -3.3 ±12.3             0/0            —          0/0       26/117 22%              —
  03-wailord-indeedee-w v lucario      60   48.3     nan     48.3    +nan ±nan     +nan ±nan     +0.0 ±12.3             0/0            —          0/0        35/67 52%              —
  03-wailord-indeedee-w v sceptile     60   70.0     nan     70.0    +nan ±nan     +nan ±nan     +0.0 ±12.3             0/0            —          0/0       33/130 25%              —
  03-wailord-indeedee-w v suicune      60   60.0     nan     60.0    +nan ±nan     +nan ±nan     +0.0 ±14.0             0/0            —          0/0       39/149 26%              —
  03-wailord-indeedee-w v vespiquen    60   60.0     nan     63.3    +nan ±nan     +nan ±nan     +3.3 ±14.7             0/0            —          0/0       31/113 27%              —
  03-wailord-indeedee-w v weezing      60   75.0     nan     66.7    +nan ±nan     +nan ±nan     -8.3 ±14.2             0/0            —          0/0       30/172 17%              —
  03-wailord-indeedee-w v all eight   480   66.0     nan     64.4    +nan ±nan     +nan ±nan     -1.7 ±4.5              0/0            —          0/0      269/929 29%              —

  04-absol-hoopa-darkra v altaria      60   56.7     nan     60.0    +nan ±nan     +nan ±nan     +3.3 ±14.7             0/0            —          0/0       22/215 10%              —
  04-absol-hoopa-darkra v blaziken     60   41.7     nan     33.3    +nan ±nan     +nan ±nan     -8.3 ±14.9             0/0            —          0/0         7/187 4%              —
  04-absol-hoopa-darkra v hydreigon    60   51.7     nan     46.7    +nan ±nan     +nan ±nan     -5.0 ±18.3             0/0            —          0/0         5/259 2%              —
  04-absol-hoopa-darkra v lucario      60   45.0     nan     30.0    +nan ±nan     +nan ±nan    -15.0 ±12.2             0/0            —          0/0         4/154 3%              —
  04-absol-hoopa-darkra v sceptile     60   20.0     nan     13.3    +nan ±nan     +nan ±nan     -6.7 ±11.3             0/0            —          0/0        11/182 6%              —
  04-absol-hoopa-darkra v suicune      60   11.7     nan     26.7    +nan ±nan     +nan ±nan    +15.0 ±11.2             0/0            —          0/0         6/231 3%              —
