dataset,cell_set,a,a_deck_name,b,b_deck_name,W,L,T,DL,n,score_pct,band95_pts
development,new_scoreboard,altaria_greninja,Mega Altaria ex Greninja,sceptile,Butterfree Mega Sceptile ex,22,11,0,0,33,66.67,16.08
development,new_scoreboard,altaria_greninja,Mega Altaria ex Greninja,vespiquen,Vespiquen ex Shuckle ex,21,13,1,0,35,61.43,16.13
development,new_scoreboard,altaria_greninja,Mega Altaria ex Greninja,suicune,Suicune ex Baxcalibur,19,16,3,0,38,53.95,15.85
development,new_scoreboard,altaria_greninja,Mega Altaria ex Greninja,hydreigon,Hydreigon Mega Absol ex,11,6,0,0,17,64.71,22.72
development,new_scoreboard,altaria_greninja,Mega Altaria ex Greninja,weezing,Team Rocket's Weezing ex Hoopa ex,8,8,0,0,16,50.00,24.50
development,new_scoreboard,altaria_greninja,Mega Altaria ex Greninja,blaziken,Mega Blaziken ex,12,5,0,1,17,70.59,21.66
holdout,coverage,scizor,Mega Scizor ex Revavroom,lucario,Mega Lucario ex Lucario,2,1,0,0,3,66.67,53.34
holdout,coverage,scizor,Mega Scizor ex Revavroom,altaria,Mega Altaria ex Espeon,5,2,0,0,7,71.43,33.47
holdout,coverage,scizor,Mega Scizor ex Revavroom,sceptile,Butterfree Mega Sceptile ex,0,2,0,0,2,0.00,0.00
holdout,coverage,scizor,Mega Scizor ex Revavroom,vespiquen,Vespiquen ex Shuckle ex,1,1,0,0,2,50.00,69.30
holdout,coverage,scizor,Mega Scizor ex Revavroom,suicune,Suicune ex Baxcalibur,2,0,0,0,2,100.00,0.00
holdout,coverage,scizor,Mega Scizor ex Revavroom,hydreigon,Hydreigon Mega Absol ex,2,3,0,0,5,40.00,42.94
holdout,coverage,scizor,Mega Scizor ex Revavroom,weezing,Team Rocket's Weezing ex Hoopa ex,0,0,0,0,0,,
holdout,coverage,scizor,Mega Scizor ex Revavroom,blaziken,Mega Blaziken ex,0,1,0,0,1,0.00,0.00
holdout,new_scoreboard,rayquaza,Dragonair Mega Rayquaza ex,lucario,Mega Lucario ex Lucario,34,28,0,1,62,54.84,12.39
holdout,new_scoreboard,rayquaza,Dragonair Mega Rayquaza ex,altaria,Mega Altaria ex Espeon,43,39,5,1,87,52.30,10.50
holdout,new_scoreboard,rayquaza,Dragonair Mega Rayquaza ex,sceptile,Butterfree Mega Sceptile ex,18,26,0,1,44,40.91,14.53
holdout,new_scoreboard,rayquaza,Dragonair Mega Rayquaza ex,vespiquen,Vespiquen ex Shuckle ex,12,15,1,1,28,44.64,18.41
holdout,new_scoreboard,rayquaza,Dragonair Mega Rayquaza ex,suicune,Suicune ex Baxcalibur,11,13,2,0,26,46.15,19.16
