game_seed,deck_in_seat_0,winner_seat,final_turn,points_seat0,points_seat1
72000184,blaziken,0,11,3,1
72000185,altaria,0,7,2,1
72000185,blaziken,0,9,4,2
72000186,altaria,1,9,1,3
72000186,blaziken,1,9,1,3
72000187,altaria,0,12,4,2
72000187,blaziken,1,9,2,4
72000188,altaria,1,10,2,3
72000188,blaziken,0,9,3,1
72000189,altaria,1,10,1,5
72000189,blaziken,0,11,3,2
72000190,altaria,0,13,4,1
72000190,blaziken,1,12,1,3
72000191,altaria,1,13,1,3
72000191,blaziken,0,8,3,1
72000192,altaria,0,6,2,1
72000192,blaziken,0,8,3,0
72000193,altaria,1,9,0,4
72000193,blaziken,1,11,2,3
72000194,altaria,0,15,5,2
72000194,blaziken,0,11,4,1
72000195,altaria,1,9,2,4
72000195,blaziken,0,8,3,0
72000196,altaria,0,12,5,2
72000196,blaziken,0,10,4,0
72000197,altaria,0,10,3,2
72000197,blaziken,0,6,3,0
72000198,altaria,1,9,2,3
72000198,blaziken,0,8,4,1
72000199,altaria,0,10,3,1
72000199,blaziken,0,10,4,2
72000200,altaria,0,10,3,2
72000200,blaziken,0,10,3,0
72000201,altaria,0,9,5,0
72000201,blaziken,1,7,0,2
72000202,altaria,1,10,2,4
72000202,blaziken,1,11,2,5
72000203,altaria,1,9,1,4
72000203,blaziken,0,14,3,1
72000204,altaria,0,11,5,1
72000204,blaziken,1,9,2,3
72000205,altaria,1,13,2,3
72000205,blaziken,1,12,2,3
72000206,altaria,1,11,2,3
72000206,blaziken,0,14,3,2
72000207,altaria,0,13,3,2
72000207,blaziken,1,4,0,1
72000208,altaria,0,16,4,2
72000208,blaziken,0,10,4,2
72000209,altaria,0,3,2,0
72000209,blaziken,1,12,1,5
72000210,altaria,0,13,3,2
72000210,blaziken,1,8,0,2
72000211,altaria,1,11,2,4
72000211,blaziken,0,8,3,2
72000212,altaria,0,12,5,2
72000212,blaziken,1,11,2,4
72000213,altaria,1,11,2,3
72000213,blaziken,1,8,1,3
72000214,altaria,0,13,4,2
72000214,blaziken,0,11,3,1
72000215,altaria,1,9,1,3
72000215,blaziken,1,5,0,2
72000216,altaria,0,11,3,1
72000216,blaziken,1,9,1,4
72000217,altaria,0,13,3,0
72000217,blaziken,1,10,0,4
72000218,altaria,1,12,0,3
72000218,blaziken,1,10,0,4
72000219,altaria,0,3,1,0
72000219,blaziken,0,12,5,2
72000220,altaria,0,12,4,1
72000220,blaziken,1,10,1,5
72000221,altaria,1,11,1,5
72000221,blaziken,1,13,2,5
72000222,altaria,0,13,4,2
72000222,blaziken,1,11,1,3
72000223,altaria,0,9,2,1
72000223,blaziken,1,6,0,4
72000224,altaria,0,12,3,2
72000224,blaziken,0,12,3,1
72000225,altaria,0,5,1,1
72000225,blaziken,1,7,1,3
72000226,altaria,0,10,3,2
72000226,blaziken,0,14,5,1
72000227,altaria,0,10,4,1
72000227,blaziken,0,12,3,1
72000228,altaria,1,9,0,3
72000228,blaziken,1,10,1,3
72000229,altaria,0,13,4,2
72000229,blaziken,1,8,1,3
72000230,altaria,1,13,0,5
72000230,blaziken,0,8,3,0
72000231,altaria,0,9,4,1
72000231,blaziken,0,9,3,0
72000232,altaria,1,13,2,3
72000232,blaziken,1,11,1,3
72000233,altaria,1,10,1,3
72000233,blaziken,0,13,3,2
72000234,altaria,0,8,3,1
72000234,blaziken,1,3,0,1
72000235,altaria,1,12,0,3
72000235,blaziken,1,16,2,4
72000236,altaria,1,10,1,3
72000236,blaziken,1,10,1,3
72000237,altaria,0,11,5,1
72000237,blaziken,0,9,3,1
72000238,altaria,1,10,0,3
72000238,blaziken,1,6,0,3
72000239,altaria,1,11,1,3
72000239,blaziken,1,9,1,4
72000240,altaria,0,7,4,0
72000240,blaziken,1,10,2,3
72000241,altaria,0,11,4,2
72000241,blaziken,1,7,1,3
72000242,altaria,0,7,3,1
72000242,blaziken,1,14,2,5
72000243,altaria,0,5,2,0
72000243,blaziken,1,10,1,3
72000244,altaria,1,9,0,5
72000244,blaziken,1,13,1,5
72000245,altaria,0,11,3,0
72000245,blaziken,1,2,0,1
72000246,altaria,0,8,3,1
72000246,blaziken,1,8,2,3
72000247,altaria,0,12,4,1
72000247,blaziken,1,12,2,3
72000248,altaria,0,14,3,2
72000248,blaziken,1,3,0,1
72000249,altaria,1,8,1,3
72000249,blaziken,1,12,2,4
72000250,altaria,1,9,1,3
72000250,blaziken,1,7,0,3
72000251,altaria,0,14,5,2
72000251,blaziken,1,9,0,4
72000252,altaria,1,12,2,5
72000252,blaziken,0,9,3,0
72000253,altaria,0,10,3,2
72000253,blaziken,1,13,2,5
72000254,altaria,1,8,1,4
72000254,blaziken,0,9,4,0
72000255,altaria,1,12,1,4
72000255,blaziken,0,11,5,2
72000256,altaria,1,3,0,1
