archetype,rank_sept10,rank_window,dustin,player,display_name,event_id,event_name,event_size,date,placing,drop,record,deck_id,cards_carried,url
Mega Lucario ex Lucario,1,1,False,adi1906,Adi1906,6a96069dabb9482237504f7f,Plasma Daily #22| Team Rocket's Ambitions| FA Card,113,2026-09-01,14,,5-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a96069dabb9482237504f7f/player/adi1906/decklist
Mega Lucario ex Lucario,1,1,False,sparadrap,Sparadrap,6a90e8157a62de8130140dee,The Breakfast Club Xastur's Showdown-$5+OAK+,97,2026-08-28,14,,5-3-1,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a90e8157a62de8130140dee/player/sparadrap/decklist
Mega Lucario ex Lucario,1,1,False,shamus,Shamus,6a8f27e57a62de813013fb20,The Breakfast Club Pop Up-$5+FA,69,2026-08-26,14,,4-3-0,mega-lucario-ex-b3-lucario-a2,Rocky Helmet x1,https://play.limitlesstcg.com/tournament/6a8f27e57a62de813013fb20/player/shamus/decklist
Mega Lucario ex Lucario,1,1,False,g7zinn,Antônio Gleisson,6aa5a7da38886b36383bdfcd,🇧🇷 Hit Sparrow #12 | TCG Pocket,17,2026-09-16,14,,0-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1; Rocky Helmet x1,https://play.limitlesstcg.com/tournament/6aa5a7da38886b36383bdfcd/player/g7zinn/decklist
Mega Lucario ex Lucario,1,1,False,cranbreezy,CranBreezy,6a94b2ffabb9482237504367,♨️Sauna X Almond POG Tournament #24|10USD + FA!,110,2026-09-02,15,,5-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a94b2ffabb9482237504367/player/cranbreezy/decklist
Mega Lucario ex Lucario,1,1,False,flameking3,FLAMEKING3,6a918b3d629039f77d8a40ca,Pop Up Series 8 || 3 FA OAKS + DX SHINIES,66,2026-08-29,15,,3-2-1,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a918b3d629039f77d8a40ca/player/flameking3/decklist
Mega Lucario ex Lucario,1,1,False,sparadrap,Sparadrap,6a918b3d629039f77d8a40ca,Pop Up Series 8 || 3 FA OAKS + DX SHINIES,66,2026-08-29,16,,3-2-1,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a918b3d629039f77d8a40ca/player/sparadrap/decklist
Mega Lucario ex Lucario,1,1,False,franztcg,Francisco Araújo,6a92710aabb9482237502fc0,🇧🇷 Hit Sparrow #10 | TCG Pocket,20,2026-09-02,16,,1-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a92710aabb9482237502fc0/player/franztcg/decklist
Mega Lucario ex Lucario,1,1,False,thomasxavier21,ThomasXavier21,6a96069dabb9482237504f7f,Plasma Daily #22| Team Rocket's Ambitions| FA Card,113,2026-09-01,17,,6-1-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a96069dabb9482237504f7f/player/thomasxavier21/decklist
Mega Lucario ex Lucario,1,1,False,sekensirazu,sekensirazu,6a90e8157a62de8130140dee,The Breakfast Club Xastur's Showdown-$5+OAK+,97,2026-08-28,17,,6-1-1,mega-lucario-ex-b3-lucario-a2,Rocky Helmet x1,https://play.limitlesstcg.com/tournament/6a90e8157a62de8130140dee/player/sekensirazu/decklist
Mega Lucario ex Lucario,1,1,False,ppitopin8,ppitopin8,6aaac3d9f1243e65f9802bad,🥊 20$ BEC'S KING OF THE HILL - ANY FA PRIZE!,95,2026-09-18,17,,2-1-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aaac3d9f1243e65f9802bad/player/ppitopin8/decklist
