deck	card	kind	games	games_offered	games_played	offered_turns	offered_turns_free	played_turns	play_rate
brews/brew-09-sableye-obstagoon	Pokémon Center Lady	Supporter	240	145	118	159	131	118	0.901
brews/brew-09-sableye-obstagoon	Professor's Research	Supporter	240	208	197	342	299	286	0.957
brews/brew-09-sableye-obstagoon	Rare Candy	Item	240	165	153	187	187	170	0.909
brews/brew-09-sableye-obstagoon	Starting Plains	Stadium	240	178	150	280	280	150	0.536
brews/brew-10-diancie-giratina	Copycat	Supporter	240	216	200	481	361	266	0.737
brews/brew-10-diancie-giratina	Cyrus	Supporter	240	26	20	27	25	20	0.800
brews/brew-10-diancie-giratina	Field Blower	Item	240	192	100	456	456	100	0.219
brews/brew-10-diancie-giratina	Giant Cape	Tool	240	228	216	395	395	313	0.792
brews/brew-10-diancie-giratina	Lucky Ice Pop	Item	240	173	155	221	221	183	0.828
brews/brew-10-diancie-giratina	Peculiar Plaza	Stadium	240	182	147	272	272	147	0.540
brews/brew-10-diancie-giratina	Poké Ball	Item	240	226	220	350	350	301	0.860
brews/brew-10-diancie-giratina	Pokémon Center Lady	Supporter	240	162	122	237	162	122	0.753
brews/brew-10-diancie-giratina	Professor's Research	Supporter	240	203	192	354	312	292	0.936
brews/brew-10-diancie-giratina	Starting Plains	Stadium	240	187	180	216	216	180	0.833
dustin/01-muk-glimmora-kingambit-regigigas	Copycat	Supporter	240	225	221	522	443	341	0.770
dustin/01-muk-glimmora-kingambit-regigigas	Heavy Helmet	Tool	240	219	210	250	250	210	0.840
dustin/01-muk-glimmora-kingambit-regigigas	Ilima	Supporter	240	134	24	198	134	24	0.179
dustin/01-muk-glimmora-kingambit-regigigas	Lucky Ice Pop	Item	240	178	174	225	225	213	0.947
dustin/01-muk-glimmora-kingambit-regigigas	Mesagoza	Stadium	240	205	179	248	248	179	0.722
dustin/01-muk-glimmora-kingambit-regigigas	Poké Ball	Item	240	227	213	446	446	289	0.648
dustin/01-muk-glimmora-kingambit-regigigas	Professor's Research	Supporter	240	219	214	410	362	356	0.983
dustin/01-muk-glimmora-kingambit-regigigas	Rare Candy	Item	240	146	145	154	154	145	0.942
dustin/02-arceus-crobat	Copycat	Supporter	240	179	115	320	198	115	0.581
dustin/02-arceus-crobat	Giant Cape	Tool	240	189	180	200	200	180	0.900
dustin/02-arceus-crobat	Guzma	Supporter	240	184	110	385	240	110	0.458
dustin/02-arceus-crobat	Ilima	Supporter	240	117	39	180	117	39	0.333
dustin/02-arceus-crobat	Lisia	Supporter	240	185	132	306	190	132	0.695
dustin/02-arceus-crobat	Lucky Egg	Tool	240	174	146	283	283	146	0.516
dustin/02-arceus-crobat	Poké Ball	Item	240	182	159	190	190	159	0.837
dustin/02-arceus-crobat	Professor's Research	Supporter	240	211	200	376	308	303	0.984
dustin/02-arceus-crobat	Rare Candy	Item	240	161	159	200	200	189	0.945
dustin/02-arceus-crobat	Starting Plains	Stadium	240	176	135	293	293	135	0.461
dustin/03-wailord-indeedee-wall	Copycat	Supporter	240	207	181	296	239	181	0.757
dustin/03-wailord-indeedee-wall	Cyrus	Supporter	240	82	77	95	85	77	0.906
dustin/03-wailord-indeedee-wall	Heavy Helmet	Tool	240	234	231	528	528	383	0.725
dustin/03-wailord-indeedee-wall	Irida	Supporter	240	188	155	294	254	155	0.610
dustin/03-wailord-indeedee-wall	Lucky Ice Pop	Item	240	221	194	642	642	356	0.555
dustin/03-wailord-indeedee-wall	Poké Ball	Item	240	230	217	509	509	299	0.587
dustin/03-wailord-indeedee-wall	Pokémon Center Lady	Supporter	240	186	129	428	277	129	0.466
dustin/03-wailord-indeedee-wall	Professor's Research	Supporter	240	222	215	414	364	349	0.959
dustin/03-wailord-indeedee-wall	Soothing Shore	Stadium	240	235	186	871	871	204	0.234
dustin/04-absol-hoopa-darkrai	Copycat	Supporter	240	209	175	477	322	233	0.724
dustin/04-absol-hoopa-darkrai	Cyrus	Supporter	240	122	94	144	127	94	0.740
dustin/04-absol-hoopa-darkrai	Deceptive Needle	Tool	240	226	215	436	436	314	0.720
dustin/04-absol-hoopa-darkrai	Poké Ball	Item	240	213	206	316	316	283	0.896
dustin/04-absol-hoopa-darkrai	Professor's Research	Supporter	240	205	189	363	293	282	0.962
dustin/04-absol-hoopa-darkrai	Sabrina	Supporter	240	157	107	236	158	107	0.677
dustin/04-absol-hoopa-darkrai	Starting Plains	Stadium	240	218	196	383	383	258	0.674
dustin/04-absol-hoopa-darkrai	X Speed	Item	240	180	89	450	450	89	0.198
dustin/05-indeedee-stoutland	Cheren	Supporter	240	171	7	560	302	7	0.023
dustin/05-indeedee-stoutland	Copycat	Supporter	240	201	174	529	377	236	0.626
dustin/05-indeedee-stoutland	Cyrus	Supporter	240	80	61	97	79	61	0.772
dustin/05-indeedee-stoutland	Field Blower	Item	240	171	121	268	268	121	0.451
dustin/05-indeedee-stoutland	Lillie	Supporter	240	66	43	81	66	43	0.652
dustin/05-indeedee-stoutland	Poké Ball	Item	240	216	205	376	376	271	0.721
dustin/05-indeedee-stoutland	Professor's Research	Supporter	240	201	188	350	302	296	0.980
dustin/05-indeedee-stoutland	Protective Poncho	Tool	240	189	176	204	204	176	0.863
dustin/05-indeedee-stoutland	Psychic	Supporter	240	100	82	112	93	82	0.882
dustin/05-indeedee-stoutland	Rare Candy	Item	240	170	168	218	218	211	0.968
dustin/06-mega-blaziken-tournament-list	Copycat	Supporter	240	215	186	460	345	247	0.716
